889 2914
8 1 0.3333333333333333
1 8 0.04
19 1 0.3333333333333333
1 19 0.5
36 1 0.3333333333333333
1 36 0.5
3 2 0.125
2 3 0.1111111111111111
4 2 0.125
2 4 0.5
6 2 0.125
2 6 0.25
8 2 0.125
2 8 0.04
12 2 0.125
2 12 0.5
16 2 0.125
2 16 0.16666666666666666
20 2 0.125
2 20 0.09090909090909091
21 2 0.125
2 21 0.2
4 3 0.1111111111111111
3 4 0.5
8 3 0.1111111111111111
3 8 0.04
11 3 0.1111111111111111
3 11 0.5
16 3 0.1111111111111111
3 16 0.16666666666666666
20 3 0.1111111111111111
3 20 0.09090909090909091
23 3 0.1111111111111111
3 23 0.2
24 3 0.1111111111111111
3 24 0.25
60 3 0.1111111111111111
3 60 0.2
88 5 0.125
5 88 0.0625
118 5 0.125
5 118 0.07692307692307693
164 5 0.125
5 164 0.1111111111111111
306 5 0.125
5 306 0.1111111111111111
369 5 0.125
5 369 0.2
447 5 0.125
5 447 0.03125
608 5 0.125
5 608 0.2
657 5 0.125
5 657 0.16666666666666666
8 6 0.25
6 8 0.04
28 6 0.25
6 28 0.5
48 6 0.25
6 48 1.0
9 7 0.25
7 9 0.08333333333333333
16 7 0.25
7 16 0.16666666666666666
18 7 0.25
7 18 0.3333333333333333
26 7 0.25
7 26 0.25
9 8 0.04
8 9 0.08333333333333333
11 8 0.04
8 11 0.5
17 8 0.04
8 17 1.0
18 8 0.04
8 18 0.3333333333333333
19 8 0.04
8 19 0.5
20 8 0.04
8 20 0.09090909090909091
21 8 0.04
8 21 0.2
23 8 0.04
8 23 0.2
26 8 0.04
8 26 0.25
27 8 0.04
8 27 1.0
30 8 0.04
8 30 1.0
32 8 0.04
8 32 0.25
33 8 0.04
8 33 0.2
34 8 0.04
8 34 0.3333333333333333
37 8 0.04
8 37 0.3333333333333333
39 8 0.04
8 39 0.5
40 8 0.04
8 40 0.5
42 8 0.04
8 42 0.5
44 8 0.04
8 44 1.0
45 8 0.04
8 45 0.2
46 8 0.04
8 46 1.0
16 9 0.08333333333333333
9 16 0.16666666666666666
20 9 0.08333333333333333
9 20 0.09090909090909091
32 9 0.08333333333333333
9 32 0.25
34 9 0.08333333333333333
9 34 0.3333333333333333
49 9 0.08333333333333333
9 49 0.125
55 9 0.08333333333333333
9 55 0.09090909090909091
58 9 0.08333333333333333
9 58 0.16666666666666666
59 9 0.08333333333333333
9 59 0.0625
88 9 0.08333333333333333
9 88 0.0625
117 9 0.08333333333333333
9 117 0.5
23 10 1.0
10 23 0.2
50 12 0.5
12 50 0.1
16 13 0.0625
13 16 0.16666666666666666
28 13 0.0625
13 28 0.5
33 13 0.0625
13 33 0.2
41 13 0.0625
13 41 1.0
64 13 0.0625
13 64 0.5
71 13 0.0625
13 71 1.0
78 13 0.0625
13 78 0.16666666666666666
95 13 0.0625
13 95 0.25
96 13 0.0625
13 96 0.25
127 13 0.0625
13 127 1.0
163 13 0.0625
13 163 0.1
166 13 0.0625
13 166 0.07692307692307693
190 13 0.0625
13 190 0.25
196 13 0.0625
13 196 0.16666666666666666
207 13 0.0625
13 207 0.14285714285714285
230 13 0.0625
13 230 0.030303030303030304
20 14 0.125
14 20 0.09090909090909091
47 14 0.125
14 47 0.125
55 14 0.125
14 55 0.09090909090909091
56 14 0.125
14 56 0.2
63 14 0.125
14 63 0.14285714285714285
88 14 0.125
14 88 0.0625
98 14 0.125
14 98 0.058823529411764705
110 14 0.125
14 110 0.1111111111111111
20 15 1.0
15 20 0.09090909090909091
60 16 0.16666666666666666
16 60 0.2
34 18 0.3333333333333333
18 34 0.3333333333333333
24 20 0.09090909090909091
20 24 0.25
